aX,aY,aZ,gX,gY,gZ
0.164,-0.539,0.902,-122.253,-16.663,-18.799
0.199,-0.507,0.955,-125.854,-5.981,-17.517
0.201,-0.497,1.01,-132.385,-24.719,-11.475
0.158,-0.525,1.072,-127.014,-48.218,-12.573
0.127,-0.537,1.092,-114.197,-71.045,-11.353
0.095,-0.524,1.135,-106.934,-65.369,-8.911
0.091,-0.509,1.143,-91.492,-32.593,-1.648
0.104,-0.462,1.129,-84.717,-13.794,2.014
0.114,-0.438,1.117,-80.017,-0.977,3.906
0.105,-0.421,1.156,-81.116,-8.789,-0.305
0.092,-0.435,1.19,-81.055,-24.902,-4.272
0.078,-0.45,1.215,-68.909,-47.119,-7.568
0.05,-0.469,1.24,-58.289,-43.762,-5.432
0.046,-0.463,1.233,-31.494,-17.7,4.395
0.089,-0.39,1.151,-21.606,-3.174,8.789
0.097,-0.367,1.115,-22.034,10.864,8.179
0.087,-0.379,1.121,-24.658,4.272,6.409
0.082,-0.395,1.127,-19.958,-16.357,4.578
0.067,-0.404,1.113,-14.465,-19.104,5.676
0.071,-0.391,1.087,0.183,-7.935,8.484
0.086,-0.365,1.001,5.066,1.648,9.399
0.093,-0.351,0.963,6.47,9.644,10.193
0.103,-0.338,0.934,1.953,13.855,8.789
0.104,-0.334,0.908,-1.953,10.01,6.836
0.107,-0.334,0.91,-6.165,-1.221,3.296
0.107,-0.341,0.915,-6.165,-3.113,1.77
0.105,-0.344,0.911,-3.113,-0.793,1.465
0.097,-0.334,0.897,-1.16,0.244,2.014
0.098,-0.328,0.883,-0.061,0.305,1.526
0.097,-0.319,0.867,-3.418,0.122,0.122
0.093,-0.325,0.878,-7.935,-0.549,-1.587
0.081,-0.344,0.915,-11.841,-4.272,-3.601
0.075,-0.351,0.936,-10.986,-5.249,-3.052
0.073,-0.354,0.95,-4.639,-3.418,-0.305
0.07,-0.344,0.952,-1.526,-2.075,0.61
0.068,-0.338,0.948,0.122,-2.93,-0.244
0.069,-0.343,0.969,-2.502,-3.845,-0.977
0.067,-0.353,1.001,-5.615,-5.737,-2.441
0.064,-0.375,1.048,-2.93,-7.141,-2.502
0.062,-0.377,1.053,4.15,-7.019,-0.305
0.06,-0.368,1.035,6.714,-4.089,1.16
0.062,-0.359,1.015,9.705,2.747,3.479
0.072,-0.343,0.971,9.888,3.906,3.601
0.076,-0.338,0.951,9.338,3.784,2.991
0.083,-0.336,0.93,7.141,3.54,0.854
0.083,-0.338,0.918,7.202,2.869,-0.122
0.085,-0.336,0.905,8.179,0.244,-0.488
0.086,-0.332,0.888,7.935,-0.549,-0.366
0.083,-0.334,0.88,6.409,0.671,0
0.079,-0.333,0.868,5.554,1.221,0.061
0.081,-0.332,0.861,2.136,-0.549,-2.014
0.077,-0.339,0.877,-0.671,-1.16,-2.869
0.076,-0.344,0.895,-3.174,-2.136,-2.747
0.069,-0.348,0.91,-3.174,-2.869,-2.625
0.064,-0.347,0.919,-3.54,-4.272,-2.441
0.051,-0.358,0.936,-3.113,-5.005,-2.38
0.047,-0.363,0.945,-1.648,-5.676,-1.16
-0.151,-0.597,1.776,146.484,-43.457,9.277
-0.151,-0.588,1.75,181.763,-36.377,18.738
-0.142,-0.57,1.626,194.458,-31.799,22.278
-0.134,-0.552,1.553,206.543,-10.803,32.043
-0.111,-0.513,1.428,212.585,-0.183,36.987
-0.083,-0.465,1.324,235.84,13.184,44.067
-0.018,-0.337,1.069,245.728,17.517,45.227
0.009,-0.272,0.948,251.099,19.897,44.128
0.028,-0.204,0.809,246.033,18.494,34.424
0.025,-0.207,0.75,243.164,13.184,28.198
0.02,-0.203,0.68,242.493,3.174,24.78
-0.003,-0.205,0.549,240.845,0.671,24.536
-0.016,-0.221,0.461,233.398,5.737,24.78
-0.022,-0.26,0.271,227.112,20.081,27.1
0.004,-0.279,0.175,216.553,50.171,29.968
0.086,-0.33,-0.055,210.815,53.406,29.358
0.13,-0.382,-0.14,198.853,19.348,16.785
0.207,-0.507,-0.261,197.815,-12.024,5.554
0.233,-0.567,-0.304,197.51,-62.256,-9.216
0.245,-0.677,-0.335,199.158,-66.711,-8.85
0.241,-0.695,-0.408,211.487,7.935,19.653
0.221,-0.595,-0.793,210.51,87.158,45.898
0.215,-0.495,-1.104,202.881,161.926,68.848
0.187,-0.291,-1.712,170.593,180.603,68.237
0.127,-0.263,-1.781,133.24,130.981,45.593
0.028,-0.305,-1.654,36.194,25.452,-3.479
-0.175,-0.516,-1.053,-5.127,-4.089,-15.625
-0.218,-0.64,-0.728,-54.565,-10.437,-9.949
-0.131,-0.838,-0.261,-66.406,-2.319,-0.732
-0.059,-0.911,-0.132,-74.707,2.136,4.578
0.007,-0.995,-0.106,-71.716,1.038,2.869
0.017,-0.99,-0.179,-66.162,13.123,8.057
0.047,-0.927,-0.339,-68.848,25.635,14.709
0.073,-0.886,-0.383,-81.97,45.776,25.696
0.132,-0.816,-0.399,-90.088,49.194,27.527
0.166,-0.795,-0.375,-108.459,41.321,23.499
0.21,-0.775,-0.297,-116.516,31.738,18.433
0.213,-0.766,-0.264,-125.61,13.367,8.484
0.192,-0.74,-0.216,-128.479,8.301,5.92
0.183,-0.724,-0.184,-138.672,7.202,6.775
0.185,-0.702,-0.098,-145.935,8.484,7.202
0.185,-0.697,-0.057,-163.513,12.451,4.517
0.178,-0.703,0.068,-172.852,9.888,1.282
0.172,-0.71,0.141,-184.753,-15.198,-10.132
0.133,-0.717,0.27,-186.584,-27.405,-15.625
0.117,-0.719,0.334,-189.27,-24.475,-18.555
0.09,-0.747,0.463,-188.293,-12.39,-15.747
0.09,-0.744,0.501,-184.753,-0.061,-8.301
0.114,-0.716,0.535,-176.392,17.395,4.578
0.119,-0.711,0.574,-176.331,21.118,6.287
0.113,-0.703,0.673,-172.119,10.864,6.104
0.109,-0.696,0.707,-164.429,0.854,5.371
0.106,-0.685,0.729,-147.278,-10.437,5.31
0.105,-0.644,0.767,-140.686,-6.653,6.348
0.116,-0.635,0.788,-135.193,18.127,14.343
0.13,-0.604,0.853,-135.803,23.621,19.287
0.124,-0.595,0.876,-122.681,-0.061,14.221
0.104,-0.588,0.902,-112.671,-19.714,7.751
0.108,-0.576,0.896,-100.83,-39.551,-0.305
0.105,-0.561,0.884,-103.577,-34.363,0.305
0.113,-0.554,0.891,-110.962,-5.615,8.728
0.149,-0.521,0.92,-113.098,10.681,12.329
0.153,-0.521,0.96,-114.441,17.273,15.564
0.142,-0.524,1.082,-109.924,-5.31,13.733
0.122,-0.542,1.132,-100.586,-39.978,9.094
0.092,-0.564,1.157,-73.242,-92.041,-0.061
0.106,-0.536,1.123,-63.354,-90.271,-0.916
0.116,-0.515,1.08,-68.848,-33.447,0
0.094,-0.528,1.061,-75.745,2.441,3.296
0.101,-0.517,1.06,-73.914,29.297,10.681
0.109,-0.478,1.086,-69.092,8.911,8.24
0.101,-0.469,1.112,-56.946,-53.955,-5.493
0.084,-0.472,1.16,-52.185,-65.674,-9.949
0.071,-0.481,1.175,-46.021,-33.325,-6.348
0.067,-0.485,1.145,-40.039,-9.583,-0.183
0.08,-0.463,1.087,-26.611,17.273,8.24
0.08,-0.416,0.991,-25.879,17.639,8.057
