aX,aY,aZ,gX,gY,gZ
0.977,0.024,0.202,-0.793,-0.916,0.305
0.971,0.034,0.208,-1.587,-2.075,1.16
0.969,0.04,0.211,-2.075,-1.709,1.587
1.161,0.698,-1.116,-4.578,-62.744,9.46
1.152,0.724,-1.344,6.836,-103.943,-26.855
1.047,0.695,-1.736,7.141,-141.357,-46.631
0.996,0.673,-1.939,-14.038,-247.131,-66.467
0.983,0.617,-2.32,-30.273,-308.105,-69.275
0.973,0.615,-2.449,-33.02,-429.749,-71.96
0.595,0.658,-2.226,-22.766,-485.535,-77.698
0.243,0.597,-1.845,-11.475,-550.964,-87.097
-1.063,0.334,-0.707,0.427,-565.674,-88.745
-2.143,0.031,0.277,77.82,-616.699,-100.464
-3.893,-0.84,2.376,120.85,-616.15,-72.876
-4,-0.955,2.819,64.697,-530.334,49.255
-3.917,-1.155,3.539,-47.729,-486.877,31.006
-3.293,-1.545,3.959,-89.783,-426.514,-60.059
-2.076,-1.896,4,84.595,-196.411,-162.903
-0.692,-1.478,3.382,77.576,-81.116,-96.069
-0.786,-0.957,3.036,-73.425,64.453,39.429
-1.037,-0.304,1.936,-113.22,122.742,60.974
-1.188,-0.11,1.386,-80.933,182.861,58.228
-1.295,0.177,0.837,-55.969,166.565,44.067
-1.228,0.222,0.855,-51.575,116.76,17.151
-0.957,0.052,1.077,-65.125,119.873,13.245
-0.855,-0.09,1.153,-79.041,179.687,25.94
-0.738,-0.23,1.266,-66.345,217.895,37.292
-0.659,-0.168,1.314,-33.142,287.537,52.49
-0.46,0.021,1.214,-25.391,314.941,44.495
-0.331,0.062,1.061,6.47,334.106,4.15
-0.019,0.073,0.747,31.799,323.303,-12.817
0.16,0.079,0.669,37.476,279.297,-11.047
0.455,0.101,0.653,10.498,257.446,1.831
0.558,0.113,0.65,-21.973,241.699,11.23
0.626,0.116,0.617,-55.542,232.422,5.676
0.69,0.082,0.496,-50.659,236.816,-3.479
0.736,0.078,0.442,-29.48,240.723,-13
0.843,0.079,0.299,-23.01,237.061,-8.789
0.852,0.087,0.225,-19.897,226.318,8.24
0.853,0.08,0.071,-24.902,219.299,12.085
0.899,0.058,-0.031,-16.479,204.956,9.949
0.946,0.038,-0.186,-0.061,198.12,7.874
0.933,0.089,-0.22,29.724,182.434,0.732
0.915,0.196,-0.215,30.151,168.518,-8.545
0.919,0.185,-0.209,20.508,152.893,-18.066
0.923,0.161,-0.213,5.127,129.211,-15.869
0.925,0.166,-0.19,3.174,122.375,-6.348
0.97,0.238,-0.155,-0.732,118.042,6.531
0.969,0.312,-0.15,-1.404,114.929,5.859
0.947,0.274,-0.18,-7.202,105.591,-11.841
0.901,0.126,-0.276,-0.671,100.159,-20.203
0.882,0.071,-0.316,22.888,83.923,-22.461
0.881,0.01,-0.347,27.771,70.862,-19.958
0.889,-0.015,-0.325,21.24,42.847,-6.897
0.915,-0.019,-0.224,15.442,33.813,4.028
0.94,0.02,-0.175,7.874,29.663,20.142
0.988,0.11,-0.157,7.263,30.334,17.029
1.004,0.114,-0.179,18.311,24.963,-3.906
1.025,0.102,-0.199,22.278,15.442,-9.46
1.031,0.106,-0.176,19.592,1.465,-9.888
1.029,0.109,-0.057,-0.122,-26.184,-3.418
1.044,0.133,0.029,-11.475,-32.104,2.197
1.049,0.159,0.111,-19.592,-25.879,6.042
1.063,0.144,0.191,-14.038,-15.503,1.16
1.09,0.107,0.196,5.981,0.732,-9.827
1.09,0.017,0.189,9.216,3.784,-9.216
1.073,-0.013,0.181,4.456,6.775,1.648
1.025,-0.028,0.163,2.563,6.958,6.714
1.007,-0.016,0.147,3.479,7.568,11.414
0.981,0.039,0.128,3.845,8.789,12.085
0.973,0.065,0.119,3.601,13.55,10.315
0.965,0.088,0.063,3.662,14.526,8.179
0.971,0.086,0.036,3.54,12.817,5.554
0.974,0.084,0.019,2.686,3.784,2.197
0.973,0.076,0.047,1.648,-1.953,1.282
0.979,0.063,0.074,-1.221,-10.254,-0.305
0.988,0.046,0.125,-1.831,-12.451,-1.587
0.991,0.046,0.16,4.333,-8.545,-4.883
1.005,0.041,0.171,6.714,-2.014,-4.822
1.005,0.031,0.128,4.822,6.836,-1.465
1.01,0.029,0.079,3.906,4.089,-1.16
1.018,0.038,0.096,3.052,-1.038,-1.892
1.019,0.046,0.108,-0.122,-5.554,-1.404
1.004,0.065,0.109,-0.122,-5.066,-0.916
1,0.078,0.118,4.272,-2.441,-3.845
0.996,0.081,0.12,5.371,-0.427,-5.249
0.993,0.073,0.112,2.686,1.648,-3.906
0.995,0.049,0.107,0.854,1.892,-2.991
0.995,0.039,0.099,0.488,3.174,-1.831
0.995,0.043,0.095,0.427,2.563,-1.404
0.993,0.046,0.102,-0.427,1.099,-1.404
0.979,0.045,0.092,-0.61,-0.488,-1.892
0.973,0.044,0.097,0.427,-0.549,-1.709
0.974,0.038,0.108,-1.038,0.977,1.831
0.977,0.032,0.099,-4.944,3.357,6.47
0.984,0.031,0.081,-5.005,3.418,7.446
0.982,0.04,0.073,-4.333,2.747,7.568
0.978,0.056,0.064,-2.014,-2.075,6.287
0.986,0.099,0.075,-0.916,-6.836,3.784
0.999,0.106,0.106,-0.366,-13.062,-3.235
1.019,0.087,0.141,-1.77,-11.719,-4.028
1.024,0.078,0.135,-4.944,-5.432,-1.709
1.024,0.078,0.119,-4.211,-3.235,-1.648
1.022,0.077,0.113,-1.099,-2.014,-4.089
1.014,0.047,0.119,-1.465,-2.38,-4.456
1.008,0.031,0.118,-3.662,-2.136,-1.404
0.99,0.029,0.096,-2.747,-1.526,-0.061
0.986,0.04,0.094,0.61,-2.197,-1.343
0.99,0.045,0.097,0.305,-2.441,-2.747
0.987,0.04,0.087,0.183,-1.709,-2.38
0.969,0.057,0.059,2.319,-2.197,-2.319
0.969,0.066,0.07,4.761,-7.507,-4.639
0.989,0.059,0.124,3.662,-8.972,-4.272
0.998,0.051,0.126,1.648,-8.545,-2.808
1.008,0.046,0.126,-0.793,-8.728,-3.052
1.03,0.034,0.167,-1.831,-9.521,-4.395
1.029,0.023,0.184,-3.845,-5.981,-2.38
1.028,0.016,0.188,-2.747,-2.686,-0.183
1.024,0.023,0.188,0.61,3.845,0.671
1.004,0.012,0.161,0.854,6.836,0.549
0.992,0.005,0.136,-0.061,10.193,2.686
0.979,0.012,0.088,-1.16,9.888,3.357
0.92,0.354,-1.365,15.564,-254.395,24.536
0.858,0.485,-1.447,54.749,-307.19,28.076
0.743,0.695,-1.621,56.763,-334.351,21.79
0.587,0.749,-1.64,-15.442,-423.279,5.127
0.023,0.637,-1.302,-53.528,-490.54,-10.681
-0.402,0.425,-0.89,-21.912,-627.197,-42.847
-1.36,-0.297,0.544,34.241,-660.034,-35.095
-1.788,-0.516,1.15,144.043,-572.266,72.51
-2.759,-0.266,1.939,131.958,-479.614,138.977
-3.181,-0.131,2.279,-35.339,-354.98,80.017
-3.189,-0.547,2.241,-17.151,-302.795,-60.608
-3.204,-1.049,2.419,120.85,-274.597,-179.932
-1.932,-1.429,2.877,95.398,-266.296,-152.893
-1.011,-1.41,3.005,34.973,-181.458,-83.374
-0.156,-1.108,2.995,-6.409,-102.539,-36.743
-0.248,-0.765,2.671,-71.899,93.567,58.899
-0.859,-0.025,1.783,-56.335,176.086,77.637
-1.099,0.209,1.379,-31.128,226.135,77.576
-1.223,0.254,0.888,-14.343,225.037,46.387
-1.181,0.162,0.838,-17.029,194.824,28.198
-1.105,-0.061,1.068,-33.264,132.69,5.371
-1.012,-0.179,1.28,-40.894,120.789,2.441
-0.905,-0.286,1.472,-48.462,156.921,20.386
-0.796,-0.442,1.662,-51.758,191.528,32.593
-0.771,-0.442,1.653,-63.416,250.305,45.776
